Project#,ProjectName,Campus,Building,Fusion#,Floor,Room,RoomName,Latitude,Longitide,GeneralvsFixed,AssetIDNo,FAIDNo,Make,Model,SerialNo,CSI Div,CSI,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Item,ClassPriority,ClassCompliance,ClassInterconnect,ClassWarranty,ClassCondition,ClassBlanket,Takeoff,Callout,Sheet,OM,OMBinderNo,OMTabNo,OMDigital,Submittal,SubmittalDigital,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyStarts,EqWarrantyExpires,LifeCycleDuration,LifeCycleExpires,ServiceContract,ServiceContractCo,DistrictResponsible,OrigContractor,OrigContract,CostEstimateatStart,Unnamed: 51,Unnamed: 52,Item a Consumable ?,Unnamed: 54,Recommend Indiv item Tracking?,Currently Indiv item tracked?,Unnamed: 57,Recommend Waldrop ID Tag?,Currently Waldrop ID Tag?,sheet
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Toilet Paper Dispenser,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Toilet Seat Cover Dispenser,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Elec Hand Dryer,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Sanitary Napkin/Tampon Dispenser,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Toilet & Urinal Compartments / Bathroom Stalls,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Baby Changing Apparatus in Bathroom,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,ADA Bathroom Grab Bars,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Bathroom trash can (recessed),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Mirror,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Tack Board - small,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,White Boards - small,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Fire Extinguishers /FE Cabinets,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Modular Office Walls,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Fire Curtain / Fire Wall,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,Yes,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Defibrillator Cabinets,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Display Case (i.e. Recessed Display Case / Lockable),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Operable Wall,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,Yes,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Signage - Egress,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Tack Board - large,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,White Boards - large,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Parking Signage (incl ADA),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Emergency Key Cabinets (i.e. Knox-Box),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Corner Guard / Wall Guard,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Locker room benches,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Signage - Directional,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,,,,,Signage - Rooms,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Classroom,,,,Fixed Projection Screens (motorized and manual),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Glove dispesner,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Coffee Maker (i.e. Airpot; Expresso Machine/Grinder),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Dishwasher,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Food Service Equipment (Other / Specialized),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Freezer / Walk-in Cooler -- Fixed,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Freezer / Walk-in Cooler -- Non-Fixed,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Ice Maker,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Microwave,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Mixer/Blender,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Prep Sink,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Oven,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,POS cash register / point of sale,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Water Filration System,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Food Service Sinks / Dipperwell Assembly,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Freezer Merchandiser,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Garbage disposer,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,Hot cabinets,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,Food-Service,,,,General food service millwork,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Parking Control Equipment (i.e. Parking Permit Machine),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Cabinets (with drawers/doors),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Counters (with drawers/doors),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Employee lockers,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,Yes,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Faucet,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Grease Interceptor,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Hot water heater,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Knock Box,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Window Washing Davit Base,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,11,11-Equipment,,,,,Window Washing Equipment,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,Office,,,,Systems Furniture / Cubicles,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,Site,,,,Bench,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,Site,,,,Bike Rack,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,Site,,,,Bus Shelter,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,Site,,,,Picnic Table,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,Site,,,,Site Furnishings: Trash Can ' Litter Receptacle,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Furniture - Other,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Modular Canopy Shades,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Portable table with stacking chairs,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Auditorium Seating,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Blinds /Shades / Curtains (Window Covering),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Student Chairs,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Student Desks,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Walk off Mat,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,12,12-Furnishings,,,,,Stadium Seating,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,14,14-Conveying-Equip,,,,,Elevator,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,11110
11110,,City,,,,,,,,,,,,,,14,14-Conveying-Equip,,,,,Elevator Room Equipment,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,11110
11110,,City,,,,,,,,,,,,,,14,14-Conveying-Equip,,,,,Wheelchair Lift,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,11110
11110,,City,,,,,,,,,,,,,,21,21-Fire-Suppression,,,,,Fire Hydrant,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,21,21-Fire-Suppression,,,,,Backflow Device,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,21,21-Fire-Suppression,,,,,Fire Sprinkler Heads,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,21,21-Fire-Suppression,,,,,Fire Protection Standpipe Control Valve; Zone Control Riser Valve Assembly,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Condensate Pump / Pump Sched Info,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Domestic Water storage tank on roof; tower,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Hot Water Circ Pump / Pump Sched Info,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Drinking Fountains (ADA etc),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Hot Water Heater,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Toilet / Water Closet,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Drinking Fountain - Electric,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Mop Sink / Floor Sink,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Gas Meter,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Hose Bibb,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Lavatory (Bathroom as a Unit to be tracked),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Roof drain / roof receptor,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Sink - Classroom,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Sink - Kitchenette,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Urinal,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Valves (inside/outside),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Water Closet,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Boiler & tank; Water Heater (see Water Heater Schedule),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Water Meter,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,Floor Drain,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,CHWP (Chilled Water Pipe),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,HWP (Hot Water Pipe),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,22,22-Plumbing,,,,,"Piping, etc",,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,23,23-HVAC,,,,,Filters,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,Yes,Yes,,No,No,11110
